,abbreviation,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,pace,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,Team_Id
322,UTAH,50.9,9.0,0.562,0.504,0.335,0.682,0.228,14.599999999999994,111.0,30.9,46.6,8.3,0.474,0.417,0.304,0.681,0.207,96.4,23.9,8.8,0.335,0.342,45.1,0.505,0.455,70.1,12.45,8.6,4.32,0.328,0.353,54.9,0.584,16.7,0.578,0.625,1428
323,VALPARAISO,49.8,8.0,0.5,0.444,0.372,0.775,0.289,8.200000000000003,105.9,30.8,54.3,8.5,0.477,0.414,0.32,0.693,0.222,97.7,26.6,8.7,0.379,0.332,47.1,0.51,0.464,70.0,3.94,9.1,-1.59,0.35,0.324,52.9,0.548,15.9,0.508,0.727,1434
324,VANDERBILT,55.2,9.8,0.521,0.43,0.348,0.777,0.271,4.5,105.6,24.7,46.3,10.7,0.481,0.425,0.307,0.699,0.214,101.1,26.9,8.2,0.33,0.338,50.0,0.513,0.468,67.1,13.69,6.2,10.72,0.486,0.376,50.0,0.563,16.3,0.481,0.543,1435
325,VERMONT,50.5,11.4,0.554,0.494,0.341,0.7,0.239,17.400000000000006,112.4,30.3,44.7,7.4,0.475,0.423,0.26,0.705,0.183,95.0,26.7,8.1,0.311,0.334,47.2,0.505,0.464,65.4,6.67,8.7,-3.27,0.325,0.369,52.8,0.58,15.0,0.554,0.829,1436
326,VILLANOVA,52.3,9.0,0.575,0.495,0.35,0.79,0.276,22.099999999999994,117.6,30.0,57.0,6.6,0.481,0.419,0.221,0.703,0.155,95.5,27.4,7.8,0.4,0.311,47.0,0.506,0.491,65.6,23.8,11.0,9.28,0.433,0.369,53.0,0.612,15.0,0.592,0.889,1437
327,VIRGINIA-COMMONWEALTH,55.6,10.6,0.51,0.461,0.364,0.705,0.257,11.200000000000003,106.8,31.2,46.4,8.9,0.475,0.422,0.409,0.697,0.285,95.6,27.3,7.8,0.315,0.338,48.2,0.517,0.46,69.0,11.57,10.7,3.77,0.294,0.331,51.8,0.544,15.3,0.515,0.743,1433
328,VIRGINIA-MILITARY-INSTITUTE,48.6,10.4,0.481,0.412,0.281,0.69,0.194,-13.700000000000003,97.6,27.2,54.5,7.5,0.555,0.483,0.393,0.671,0.263,111.3,31.0,10.1,0.36,0.396,53.1,0.578,0.532,70.2,-13.91,8.9,-1.8,0.442,0.316,46.9,0.51,16.4,0.488,0.2,1440
329,VIRGINIA-TECH,56.0,7.0,0.569,0.489,0.409,0.737,0.301,6.200000000000003,112.5,23.4,49.9,11.8,0.51,0.445,0.273,0.717,0.196,106.3,30.2,7.7,0.359,0.363,51.8,0.538,0.49,69.8,12.77,5.6,8.38,0.397,0.403,48.2,0.603,15.5,0.546,0.667,1439
330,VIRGINIA,56.4,13.9,0.524,0.46,0.26,0.709,0.184,15.800000000000011,107.9,28.2,50.6,7.5,0.461,0.398,0.338,0.699,0.237,92.1,24.3,8.1,0.398,0.318,47.7,0.499,0.451,60.3,20.63,9.1,10.93,0.33,0.385,52.3,0.548,13.7,0.497,0.676,1438
331,WAGNER,44.8,10.3,0.481,0.428,0.349,0.691,0.241,3.799999999999997,103.7,40.4,52.5,6.5,0.469,0.409,0.384,0.692,0.266,99.9,30.3,8.6,0.358,0.336,45.0,0.509,0.449,65.0,-7.13,7.4,-7.89,0.325,0.332,55.0,0.516,17.6,0.474,0.533,1447
332,WAKE-FOREST,55.5,10.1,0.541,0.472,0.407,0.779,0.317,6.200000000000003,115.5,30.7,52.7,9.9,0.527,0.457,0.38,0.724,0.275,109.3,27.5,8.4,0.388,0.358,48.1,0.563,0.521,71.7,14.19,7.7,9.8,0.357,0.385,51.9,0.586,14.3,0.521,0.576,1448
333,WASHINGTON-STATE,56.6,7.0,0.521,0.461,0.28,0.756,0.212,-9.099999999999994,100.9,19.9,51.1,7.7,0.524,0.46,0.275,0.694,0.191,110.0,28.9,8.2,0.368,0.352,53.1,0.548,0.522,69.4,0.13,6.0,6.87,0.33,0.364,46.9,0.553,16.5,0.508,0.419,1450
334,WASHINGTON,46.7,12.8,0.506,0.448,0.309,0.654,0.202,-6.400000000000006,104.5,35.0,52.3,9.0,0.528,0.466,0.347,0.719,0.25,110.9,31.2,9.7,0.307,0.399,48.4,0.56,0.496,72.8,2.15,8.3,6.82,0.328,0.354,51.6,0.53,16.0,0.495,0.29,1449
335,WEBER-STATE,48.8,7.7,0.57,0.487,0.422,0.741,0.313,8.700000000000003,113.2,21.0,43.1,6.9,0.499,0.452,0.283,0.739,0.209,104.5,29.3,6.9,0.268,0.354,52.0,0.532,0.487,69.5,-2.32,7.3,-5.13,0.401,0.417,48.0,0.606,14.5,0.534,0.588,1451
336,WEST-VIRGINIA,57.3,14.2,0.513,0.454,0.389,0.685,0.266,20.400000000000006,112.2,37.7,53.5,9.0,0.488,0.424,0.425,0.683,0.29,91.8,31.5,7.8,0.363,0.353,47.9,0.527,0.465,71.4,24.45,13.8,9.67,0.325,0.362,52.1,0.545,14.1,0.498,0.757,1452
337,WESTERN-CAROLINA,50.5,7.3,0.44,0.39,0.286,0.653,0.187,-17.19999999999999,88.4,32.4,59.4,10.2,0.516,0.445,0.459,0.702,0.322,105.6,28.9,12.1,0.404,0.355,49.5,0.557,0.506,69.4,-15.3,8.9,-0.7,0.321,0.307,50.5,0.469,19.8,0.429,0.281,1441
338,WESTERN-ILLINOIS,52.7,10.8,0.513,0.435,0.291,0.707,0.206,-6.900000000000006,99.1,18.6,51.6,7.4,0.5,0.436,0.393,0.73,0.287,106.0,23.7,9.0,0.315,0.406,52.1,0.542,0.45,70.9,-11.0,6.4,-2.38,0.4,0.388,47.9,0.541,16.2,0.467,0.286,1442
339,WESTERN-KENTUCKY,51.1,9.0,0.5,0.44,0.372,0.671,0.25,-4.299999999999997,102.3,27.2,55.3,7.9,0.523,0.452,0.247,0.707,0.175,106.6,26.7,8.0,0.383,0.368,49.7,0.546,0.504,67.5,-5.8,6.6,-2.89,0.343,0.353,50.3,0.531,15.7,0.485,0.469,1443
340,WESTERN-MICHIGAN,48.0,8.0,0.505,0.451,0.358,0.704,0.252,0.4000000000000057,106.4,31.8,52.2,7.1,0.538,0.47,0.346,0.705,0.244,106.0,25.9,8.5,0.375,0.361,48.0,0.567,0.536,70.7,-0.78,8.1,-0.55,0.294,0.371,52.0,0.539,15.1,0.484,0.5,1444
341,WICHITA-STATE,59.1,11.4,0.543,0.469,0.401,0.733,0.294,26.799999999999997,116.7,34.2,49.5,8.9,0.437,0.377,0.359,0.692,0.249,89.9,23.6,7.6,0.388,0.311,43.9,0.48,0.419,69.4,21.24,9.4,2.96,0.364,0.403,56.1,0.579,13.9,0.507,0.861,1455
342,WILLIAM-MARY,61.2,13.5,0.569,0.491,0.381,0.692,0.264,5.5,112.9,26.3,49.2,10.7,0.513,0.442,0.347,0.706,0.245,107.4,27.2,8.8,0.408,0.348,49.0,0.545,0.506,71.8,-0.14,7.4,-0.73,0.409,0.382,51.0,0.593,15.4,0.566,0.548,1456
343,WINTHROP,47.5,13.1,0.535,0.455,0.37,0.717,0.266,12.099999999999994,108.3,27.1,40.8,9.7,0.463,0.408,0.335,0.722,0.242,96.2,28.1,8.2,0.352,0.313,49.7,0.503,0.459,71.5,1.34,8.9,-6.12,0.429,0.373,50.3,0.568,15.7,0.517,0.788,1457
344,WISCONSIN,51.9,9.8,0.521,0.455,0.329,0.644,0.212,15.299999999999997,110.7,35.7,45.6,8.5,0.476,0.413,0.281,0.739,0.207,95.4,25.4,8.1,0.335,0.376,45.3,0.511,0.431,64.5,19.4,10.3,9.4,0.369,0.359,54.7,0.542,14.3,0.511,0.73,1458
345,WOFFORD,61.3,5.7,0.548,0.467,0.321,0.779,0.25,4.8999999999999915,112.6,29.0,46.4,7.8,0.529,0.472,0.368,0.728,0.268,107.7,27.9,9.1,0.338,0.342,49.7,0.565,0.538,68.2,-0.71,8.0,-1.08,0.4,0.403,50.3,0.584,15.4,0.51,0.485,1459
346,WRIGHT-STATE,57.8,6.8,0.527,0.449,0.393,0.764,0.3,6.5,106.8,29.8,47.8,9.1,0.508,0.442,0.364,0.705,0.256,100.3,26.2,9.4,0.393,0.338,48.2,0.543,0.509,71.6,-1.02,7.8,-2.42,0.412,0.381,51.8,0.571,18.0,0.497,0.625,1460
347,WYOMING,56.9,11.1,0.517,0.435,0.375,0.73,0.274,4.3999999999999915,103.6,22.9,44.6,9.2,0.456,0.402,0.384,0.724,0.278,99.2,26.7,9.1,0.348,0.31,50.8,0.503,0.451,74.0,2.83,6.8,0.55,0.466,0.35,49.2,0.555,15.8,0.51,0.605,1461
348,XAVIER,57.0,7.7,0.519,0.457,0.41,0.689,0.283,4.799999999999997,109.0,34.4,55.0,10.4,0.516,0.45,0.334,0.698,0.233,104.2,25.3,9.3,0.395,0.334,45.6,0.546,0.525,68.3,14.8,8.8,11.51,0.361,0.344,54.4,0.553,15.7,0.52,0.632,1462
349,YALE,58.8,11.5,0.531,0.468,0.336,0.732,0.246,6.200000000000003,108.3,31.4,51.7,9.9,0.491,0.429,0.261,0.711,0.185,102.1,28.4,9.7,0.382,0.329,47.6,0.52,0.49,68.2,0.21,8.2,-2.19,0.354,0.357,52.4,0.564,16.5,0.528,0.621,1463
350,YOUNGSTOWN-STATE,52.3,7.5,0.496,0.44,0.27,0.672,0.181,-7.200000000000003,102.1,26.5,53.7,7.7,0.524,0.462,0.28,0.718,0.201,109.3,30.8,7.8,0.362,0.346,52.6,0.552,0.528,73.7,-9.75,7.3,-2.56,0.336,0.333,47.4,0.52,13.9,0.494,0.382,1464
